LONELY_ucla_loneliness_scale_left_out,WELLNESS_life_satisfaction,LONELY_ucla_loneliness_scale_isolated,GEO_rural_urban,DEMO_age,DEMO_household_income,LONELY_ucla_loneliness_scale_companionship
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",45.0,"$15,000 to $19,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",26.0,Presented but no response,Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",25.0,"$15,000 to $19,999",Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",38.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",37.0,Presented but no response,Some of the time
Some of the time,5.0,Often,"Large urban centre (100,000+ people)",34.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",37.0,"$50,000 to $59,999",Some of the time
Some of the time,9.0,Some of the time,"Medium city/town (30,000-99,999 people)",27.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Medium city/town (30,000-99,999 people)",36.0,"$130,000 to $139,999",Some of the time
Some of the time,7.0,Some of the time,"Small city/town (1,000-29,999 people)",59.0,"$100,000 to $109,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",33.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",55.0,Presented but no response,Some of the time
Hardly Ever,7.0,Hardly Ever,"Large urban centre (100,000+ people)",26.0,"$150,000 to $159,999",Hardly Ever
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",19.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",32.0,"$30,000 to $34,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",62.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",25.0,Presented but no response,Some of the time
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",19.0,Presented but no response,Some of the time
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",29.0,"$130,000 to $139,999",Hardly Ever
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",63.0,"$70,000 to $79,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",63.0,"$100,000 to $109,999",Some of the time
Hardly Ever,6.0,Often,"Large urban centre (100,000+ people)",23.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",64.0,"$140,000 to $149,999",Some of the time
Some of the time,2.0,Hardly Ever,"Large urban centre (100,000+ people)",20.0,"$10,000 to $14,999",Hardly Ever
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",44.0,"$5,000 to $9,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",51.0,"$90,000 to $99,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",54.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Medium city/town (30,000-99,999 people)",42.0,"$90,000 to $99,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",26.0,Presented but no response,Often
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",96.0,Presented but no response,Some of the time
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",70.0,"$100,000 to $109,999",Some of the time
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",61.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",49.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",57.0,"$130,000 to $139,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",35.0,"$25,000 to $29,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",58.0,"$200,000 or more",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",30.0,"$10,000 to $14,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",48.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",64.0,"$25,000 to $29,999",Some of the time
Hardly Ever,2.0,Some of the time,"Large urban centre (100,000+ people)",52.0,"$20,000 to $24,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",30.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",56.0,"$70,000 to $79,999",Some of the time
Some of the time,1.0,Often,"Large urban centre (100,000+ people)",27.0,"Under $5,000",Often
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",67.0,"$20,000 to $24,999",Hardly Ever
Hardly Ever,8.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$90,000 to $99,999",Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",69.0,"$40,000 to $44,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",65.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Small city/town (1,000-29,999 people)",62.0,"$15,000 to $19,999",Some of the time
Hardly Ever,4.0,Some of the time,"Large urban centre (100,000+ people)",30.0,"$10,000 to $14,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",75.0,"$15,000 to $19,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",54.0,"$25,000 to $29,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Hardly Ever,10.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,7.0,Hardly Ever,"Large urban centre (100,000+ people)",79.0,Presented but no response,Often
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",57.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",42.0,Presented but no response,Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",54.0,"$60,000 to $69,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",55.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",28.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,Rural area (Less than 1000 people),60.0,"$40,000 to $44,999",Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",73.0,"$30,000 to $34,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",83.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Small city/town (1,000-29,999 people)",64.0,"$190,000 to $199,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",62.0,"$45,000 to $49,999",Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",29.0,"$100,000 to $109,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,"$30,000 to $34,999",Hardly Ever
Hardly Ever,6.0,Hardly Ever,"Large urban centre (100,000+ people)",28.0,Presented but no response,Hardly Ever
Hardly Ever,8.0,Some of the time,"Large urban centre (100,000+ people)",34.0,"$60,000 to $69,999",Hardly Ever
Hardly Ever,5.0,Some of the time,"Large urban centre (100,000+ people)",32.0,"$70,000 to $79,999",Some of the time
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",47.0,"$90,000 to $99,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",34.0,"$10,000 to $14,999",Some of the time
Some of the time,6.0,Often,"Large urban centre (100,000+ people)",26.0,"$5,000 to $9,999",Some of the time
Some of the time,4.0,Some of the time,Rural area (Less than 1000 people),66.0,"$20,000 to $24,999",Some of the time
Some of the time,9.0,Hardly Ever,"Large urban centre (100,000+ people)",28.0,"$5,000 to $9,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",30.0,Presented but no response,Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",66.0,"$20,000 to $24,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",71.0,Presented but no response,Some of the time
Often,6.0,Often,"Large urban centre (100,000+ people)",70.0,"$30,000 to $34,999",Often
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",61.0,Presented but no response,Some of the time
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",32.0,"$70,000 to $79,999",Some of the time
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",32.0,"$60,000 to $69,999",Hardly Ever
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",33.0,"$10,000 to $14,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",33.0,"$50,000 to $59,999",Some of the time
Hardly Ever,2.0,Hardly Ever,"Large urban centre (100,000+ people)",29.0,"$10,000 to $14,999",Hardly Ever
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",62.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",73.0,Presented but no response,Some of the time
Often,3.0,Often,"Large urban centre (100,000+ people)",25.0,Presented but no response,Often
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",34.0,"$110,000 to $119,999",Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",52.0,"$30,000 to $34,999",Some of the time
Some of the time,7.0,Often,"Large urban centre (100,000+ people)",30.0,"$10,000 to $14,999",Often
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",60.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",37.0,"$200,000 or more",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",85.0,Presented but no response,Some of the time
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",25.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",56.0,"$100,000 to $109,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",24.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",38.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",64.0,"$30,000 to $34,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",24.0,"$90,000 to $99,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",80.0,Presented but no response,Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",40.0,"$30,000 to $34,999",Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",74.0,Presented but no response,Some of the time
Some of the time,7.0,Often,"Large urban centre (100,000+ people)",35.0,"$15,000 to $19,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",53.0,"$20,000 to $24,999",Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",18.0,"Under $5,000",Some of the time
